epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04683,1.03135,3.19524,1.48708,0.00322,1,0.15668,0.06444,0.71378,3.00972,1.06458,0.00010002,0.00010002,0.00010002
2,9.03641,0.88619,2.87727,1.33247,0.00328,1,0.87179,0.6819,0.56137,2.96772,1.0112,0.000212419,0.000212419,0.000212419
3,11.2331,0.90718,2.4043,1.29807,0.00298,0.95,0.69051,0.5408,0.68568,2.99969,1.22305,0.000320197,0.000320197,0.000320197
4,13.2661,0.77695,1.9467,1.20944,0.00278,0.9,0.67372,0.55394,0.73793,2.98493,1.18403,0.000423355,0.000423355,0.000423355
5,15.3541,0.78763,1.69438,1.23987,0.00317,1,0.70873,0.55142,0.68539,2.92192,1.19315,0.000521891,0.000521891,0.000521891
6,17.3496,0.8167,1.45559,1.23558,0.00319,1,0.77327,0.60831,0.64185,2.68429,1.05452,0.000615806,0.000615806,0.000615806
7,19.4247,0.84655,1.30564,1.1894,0.00322,1,0.33394,0.18564,1.08584,2.8855,1.46332,0.000705101,0.000705101,0.000705101
8,21.5868,0.83431,1.32497,1.21587,0.09282,0.575,0.44044,0.28851,1.24785,2.83486,1.46755,0.000789775,0.000789775,0.000789775
9,24.2458,0.87683,1.35882,1.2671,0.22781,0.1,0.15304,0.09168,1.34274,3.06729,1.5722,0.000869827,0.000869827,0.000869827
10,26.6263,0.88099,1.34999,1.25555,0.00257,0.85,0.28123,0.20733,1.40659,3.16776,1.7581,0.000945259,0.000945259,0.000945259
11,28.8717,0.87113,1.33587,1.26692,0.00306,0.85,0.09952,0.0722,1.2113,3.11105,1.54813,0.00101607,0.00101607,0.00101607
12,31.1674,0.85811,1.19851,1.2141,0.72638,0.63963,0.72676,0.44682,1.30374,2.45008,1.84361,0.00108226,0.00108226,0.00108226
13,33.3466,0.82676,1.2436,1.22704,0.59684,0.6,0.73505,0.36717,1.49502,2.28289,2.08329,0.00114383,0.00114383,0.00114383
14,35.481,0.79395,1.2078,1.17511,0.70262,0.57524,0.52727,0.30039,1.55293,2.64016,1.81237,0.00120078,0.00120078,0.00120078
15,38.1049,0.78167,1.09237,1.15675,0.79839,0.575,0.75331,0.55301,1.04812,2.61676,1.35132,0.00120491,0.00120491,0.00120491
16,40.8701,0.77485,1.11633,1.16415,0.83509,0.9,0.93144,0.8021,0.77733,1.73849,1.15887,0.0011719,0.0011719,0.0011719
17,42.9444,0.75445,1.0183,1.16673,0.85904,0.95,0.93102,0.81948,0.69966,1.45247,1.11353,0.00113889,0.00113889,0.00113889
18,45.0005,0.83175,1.04345,1.19022,0.88189,0.95,0.9135,0.82117,0.72306,1.22584,1.09542,0.00110589,0.00110589,0.00110589
19,46.9993,0.76819,1.05764,1.17919,0.93635,0.95,0.92407,0.79419,0.64232,1.2807,1.01118,0.00107288,0.00107288,0.00107288
20,49.0371,0.7213,0.99012,1.15588,0.85887,0.95,0.90598,0.77677,0.66461,1.34158,1.06288,0.00103987,0.00103987,0.00103987
21,50.9797,0.78735,1.02015,1.18247,0.88784,0.9,0.92349,0.83052,0.59921,1.41547,1.02847,0.00100687,0.00100687,0.00100687
22,53.0239,0.71694,0.93155,1.12394,0.87978,0.9,0.92574,0.81951,0.51332,1.36939,0.98029,0.000973861,0.000973861,0.000973861
23,55.103,0.72796,0.91199,1.11968,0.93655,0.95,0.95102,0.81857,0.63096,1.05919,1.01253,0.000940855,0.000940855,0.000940855
24,57.2195,0.69787,0.89963,1.12333,0.83238,0.95,0.90617,0.76856,0.76722,1.19048,1.08417,0.000907848,0.000907848,0.000907848
25,59.1973,0.69389,0.86248,1.11748,0.86725,0.94935,0.9269,0.8654,0.6629,1.06187,1.03195,0.000874842,0.000874842,0.000874842
26,61.3068,0.74247,0.90446,1.14941,0.88434,0.95,0.93125,0.87015,0.4747,0.91987,0.94554,0.000841835,0.000841835,0.000841835
27,63.4674,0.71648,0.8774,1.12057,0.90873,0.95,0.92587,0.86137,0.44746,0.83932,0.92284,0.000808828,0.000808828,0.000808828
28,65.6111,0.6919,0.84933,1.1149,0.92166,0.95,0.93316,0.80503,0.57019,0.8828,0.97859,0.000775822,0.000775822,0.000775822
29,67.7076,0.6498,0.80212,1.10321,0.92258,0.95,0.92429,0.80759,0.55971,0.91432,0.96627,0.000742815,0.000742815,0.000742815
30,70.0561,0.62897,0.81915,1.09485,0.91267,0.9448,0.925,0.85143,0.54135,0.93463,0.94174,0.000709809,0.000709809,0.000709809
31,72.2797,0.65296,0.81593,1.07802,0.90549,0.94106,0.91305,0.80244,0.58367,0.94391,0.98215,0.000676802,0.000676802,0.000676802
32,74.4851,0.58559,0.74993,1.05081,0.91765,0.94097,0.92852,0.85078,0.45094,0.89555,0.9554,0.000643795,0.000643795,0.000643795
33,76.5738,0.63252,0.76023,1.10462,0.90581,0.95,0.93338,0.85424,0.47117,0.91687,0.95098,0.000610789,0.000610789,0.000610789
34,78.8662,0.69125,0.80076,1.1408,0.92595,0.95,0.93294,0.86133,0.54406,0.91376,0.99266,0.000577782,0.000577782,0.000577782
35,81.1148,0.59814,0.72062,1.09125,0.93282,0.95,0.93042,0.83596,0.58978,0.84764,0.96965,0.000544776,0.000544776,0.000544776
36,83.8523,0.61722,0.72863,1.09023,0.93281,0.95,0.935,0.85959,0.4799,0.80877,0.92695,0.000511769,0.000511769,0.000511769
37,86.6259,0.5642,0.73726,1.06846,0.93301,0.95,0.93443,0.8613,0.43138,0.79561,0.92015,0.000478762,0.000478762,0.000478762
38,89.3544,0.56882,0.72854,1.02922,0.92729,0.95,0.94083,0.89528,0.39394,0.73008,0.89896,0.000445756,0.000445756,0.000445756
39,91.9995,0.59107,0.71533,1.09149,0.92537,0.95,0.93816,0.85012,0.50368,0.72833,0.93266,0.000412749,0.000412749,0.000412749
40,94.544,0.58206,0.69821,1.04481,0.92811,0.95,0.94773,0.857,0.46787,0.71469,0.93288,0.000379743,0.000379743,0.000379743
41,166.43,0.43148,0.92932,0.99779,0.92763,0.95,0.95278,0.87657,0.43195,0.69392,0.91182,0.000346736,0.000346736,0.000346736
42,168.829,0.41237,0.8567,0.99308,0.92895,0.95,0.94571,0.90165,0.41169,0.76808,0.89693,0.000313729,0.000313729,0.000313729
43,171.199,0.40778,0.90915,0.94797,0.93321,0.95,0.95667,0.93839,0.34084,0.74933,0.885,0.000280723,0.000280723,0.000280723
44,173.556,0.39797,0.89884,0.97538,0.91898,0.95,0.95667,0.89568,0.36803,0.7364,0.90053,0.000247716,0.000247716,0.000247716
45,175.777,0.37,0.79946,0.93326,0.91959,0.95,0.96167,0.90068,0.37509,0.72229,0.89574,0.00021471,0.00021471,0.00021471
46,178.073,0.36301,0.78532,0.93499,0.91801,0.95371,0.96773,0.9145,0.38799,0.69475,0.8874,0.000181703,0.000181703,0.000181703
47,180.475,0.37595,0.78186,0.99061,0.91946,0.9538,0.97227,0.93299,0.37496,0.67413,0.87601,0.000148696,0.000148696,0.000148696
48,182.962,0.32036,0.74631,0.90685,0.92658,0.95338,0.97682,0.95176,0.34441,0.67588,0.86817,0.00011569,0.00011569,0.00011569
49,185.445,0.31841,0.75205,0.93925,0.92859,0.95336,0.97682,0.95276,0.34007,0.66791,0.86686,8.26832e-05,8.26832e-05,8.26832e-05
50,187.73,0.315,0.73228,0.888,0.93124,0.95342,0.97682,0.94774,0.32915,0.65934,0.86444,4.96766e-05,4.96766e-05,4.96766e-05
