epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0262,1.15002,3.61902,1.55094,0.04805,0.955,0.316,0.25705,0.81765,3.55267,1.14454,0.00017776,0.00017776,0.00017776
2,14.7995,0.96666,3.03601,1.36078,0.0268,0.955,0.58667,0.45674,1.10952,3.48935,1.26462,0.000359371,0.000359371,0.000359371
3,19.2874,0.99758,2.50014,1.37703,0.922,0.54428,0.70896,0.57843,1.04095,2.96642,1.18085,0.000533502,0.000533502,0.000533502
4,23.4716,1.04141,2.09154,1.38544,0.86278,0.60109,0.77605,0.59998,0.82873,2.53886,1.21966,0.000700154,0.000700154,0.000700154
5,27.5511,1.0498,1.90905,1.38697,0.78653,0.49562,0.62993,0.40355,1.3362,2.93973,1.47906,0.000859327,0.000859327,0.000859327
6,31.5785,1.02658,1.73818,1.36801,0.77959,0.39516,0.5984,0.42809,1.10023,2.56661,1.46237,0.00100101,0.00100101,0.00100101
7,35.6991,0.96445,1.62918,1.29698,0.71869,0.63116,0.67198,0.54453,0.98902,2.25733,1.34463,0.000979013,0.000979013,0.000979013
8,39.9766,0.93921,1.59102,1.27966,0.83431,0.71916,0.79795,0.62915,0.93829,1.55364,1.23108,0.000957015,0.000957015,0.000957015
9,44.0957,0.97097,1.53077,1.30096,0.42575,0.75381,0.58953,0.40665,1.20412,2.69675,1.28322,0.000935018,0.000935018,0.000935018
10,48.413,0.95194,1.44495,1.26745,0.63561,0.6016,0.70124,0.52547,0.76741,1.93605,1.21868,0.00091302,0.00091302,0.00091302
11,52.5703,0.94213,1.43535,1.26472,0.64646,0.81,0.83475,0.63963,1.12152,1.74657,1.30722,0.000891022,0.000891022,0.000891022
12,56.7961,0.88463,1.33052,1.23925,0.94254,0.73241,0.83744,0.70103,0.83331,1.35447,1.08393,0.000869024,0.000869024,0.000869024
13,61.0385,0.89224,1.28535,1.26079,0.7545,0.77091,0.85797,0.68703,0.86583,1.34345,1.08781,0.000847026,0.000847026,0.000847026
14,65.3491,0.87894,1.30373,1.27581,0.71441,0.82711,0.80825,0.60893,0.88378,1.30347,1.16587,0.000825029,0.000825029,0.000825029
15,69.5882,0.89853,1.27453,1.27155,0.81321,0.80674,0.8499,0.69953,1.07356,1.0891,1.13159,0.000803031,0.000803031,0.000803031
16,73.9489,0.84798,1.14403,1.2046,0.82173,0.88,0.86687,0.72634,0.95709,0.90685,1.12613,0.000781033,0.000781033,0.000781033
17,78.2894,0.83718,1.12035,1.2026,0.82252,0.855,0.90691,0.72786,0.85647,0.98852,1.11275,0.000759035,0.000759035,0.000759035
18,82.6602,0.84272,1.15112,1.21712,0.80011,0.87978,0.89573,0.73138,0.74297,1.1034,1.06912,0.000737037,0.000737037,0.000737037
19,87.1856,0.77542,1.02872,1.17949,0.78385,0.82579,0.83845,0.74477,0.72658,0.8294,1.06868,0.00071504,0.00071504,0.00071504
20,91.9206,0.81256,1.08122,1.19705,0.84886,0.84369,0.90185,0.77395,0.73576,0.77077,1.04538,0.000693042,0.000693042,0.000693042
21,96.484,0.7977,1.03252,1.19556,0.8504,0.905,0.88899,0.74454,0.76967,0.73662,1.02894,0.000671044,0.000671044,0.000671044
22,100.921,0.81718,1.04924,1.21444,0.86969,0.89025,0.90053,0.76207,0.70095,0.79044,1.01755,0.000649046,0.000649046,0.000649046
23,105.486,0.79833,0.99941,1.20797,0.8385,0.905,0.90048,0.76897,0.69152,0.70346,1.04307,0.000627048,0.000627048,0.000627048
24,110.427,0.78042,0.96745,1.17411,0.80925,0.8537,0.87564,0.77064,0.66748,0.60522,0.97424,0.000605051,0.000605051,0.000605051
25,115.161,0.7376,0.91045,1.15142,0.81229,0.92317,0.90351,0.77005,0.74297,0.64828,1.02335,0.000583053,0.000583053,0.000583053
26,119.739,0.80837,0.94219,1.20082,0.86637,0.88963,0.91984,0.8001,0.74633,0.71797,1.00243,0.000561055,0.000561055,0.000561055
27,124.354,0.72275,0.90946,1.14556,0.85866,0.955,0.93619,0.79436,0.60278,0.605,0.96717,0.000539057,0.000539057,0.000539057
28,129.04,0.70923,0.89528,1.12213,0.85739,0.89859,0.90159,0.79946,0.67294,0.60292,1.00033,0.000517059,0.000517059,0.000517059
29,134.305,0.75581,0.913,1.15499,0.84777,0.905,0.89735,0.76168,0.69679,0.5948,1.0368,0.000495062,0.000495062,0.000495062
30,139.192,0.74818,0.90057,1.14435,0.94051,0.82018,0.86094,0.76997,0.65362,0.63349,0.98152,0.000473064,0.000473064,0.000473064
31,144.088,0.70482,0.86223,1.11538,0.74499,0.87632,0.87365,0.77269,0.54916,0.70535,0.98623,0.000451066,0.000451066,0.000451066
32,148.973,0.73427,0.82059,1.15862,0.84583,0.83,0.85831,0.73727,0.66187,0.61322,0.99355,0.000429068,0.000429068,0.000429068
33,153.643,0.6653,0.78485,1.1068,0.81659,0.83,0.85289,0.75526,0.57301,0.54782,0.96981,0.00040707,0.00040707,0.00040707
